File,Language,Transcription,Normalized Transcription
KC-00078.wav,en,Fred fed Ted Bread and Ted fed Fred Bread.,Fred fed Ted Bread and Ted fed Fred Bread.
KC-00079.wav,en,She saw Sheriff's shoes on the sofa. But was she so sure those were Sheriff's shoes?,She saw Sheriff's shoes on the sofa. But was she so sure those were Sheriff's shoes?
KC-00080.wav,en,I saw Susie sitting in a shoe shine shop.,I saw Susie sitting in a shoe shine shop.
KC-00081.wav,en,"She stood on the balcony inexplicably mimicking him hiccuping and amicably welcoming him in.","She stood on the balcony inexplicably mimicking him hiccuping and amicably welcoming him in."
KC-00082.wav,en,"ice cream you scream we all scream for ice cream.","ice cream you scream we all scream for ice cream."
KC-00083.wav,en,proper copper coffee pot.,proper copper coffee pot.
KC-00084.wav,en,Irish wristwatch Swiss wristwatch,Irish wristwatch Swiss wristwatch
KC-00085.wav,en,Red lorry Yellow lorry.,Red lorry Yellow lorry.
KC-00086.wav,en,Unique New York.,Unique New York.
KC-00087.wav,en,She sells seashells by the seashore.,She sells seashells by the seashore.
KC-00088.wav,en,"Crisp crusts crackle and crunch.","Crisp crusts crackle and crunch."
KC-00089.wav,en,Crisp crusts crackle and crunch.,Crisp crusts crackle and crunch.
KC-00090.wav,en,Mix a box of mixed biscuits with a boxed biscuit mixer.,Mix a box of mixed biscuits with a boxed biscuit mixer.
KC-00091.wav,en,Fred fed Ted Bread and Ted fed Fred Bread.,Fred fed Ted Bread and Ted fed Fred Bread.
KC-00092.wav,en,6 slippery snails slid swiftly seaweed,6 slippery snails slid swiftly seaweed
KC-00093.wav,en,"The seething sees Seasoth, and thus the seething sees suffice us.","The seething sees Seasoth, and thus the seething sees suffice us."
KC-00094.wav,en,Unique New York,Unique New York
KC-00095.wav,en,Red leather yellow leather.,Red leather yellow leather.
KC-00096.wav,en,"A big black bug bit a big black bear.","A big black bug bit a big black bear."
KC-00097.wav,en,The great Greek grape growers grow great Greek grapes.,The great Greek grape growers grow great Greek grapes.
KC-00098.wav,en,"Amidst the mists and coldest frosts the barest wrists and stoutest boasts he thrust his fists against the posts and still insists he sees the ghosts.","Amidst the mists and coldest frosts the barest wrists and stoutest boasts he thrust his fists against the posts and still insists he sees the ghosts."
KC-00099.wav,en,"Betty Butter bought some butter but she said the butter's bitter.","Betty Butter bought some butter but she said the butter's bitter."
KC-00100.wav,en,6 slippery snails slid slowly seaweed,6 slippery snails slid slowly seaweed
KC-00101.wav,en,How much wood would a wood chuck chuck if a wood chuck could chuck wood?,How much wood would a wood chuck chuck if a wood chuck could chuck wood?
KC-00102.wav,en,Peter Piper picked a peck of pickled peppers.,Peter Piper picked a peck of pickled peppers.
KC-00103.wav,en,She sells sea shells by the seashore.,She sells sea shells by the seashore.
KC-00104.wav,en,He threw three free throws.,He threw three free throws.
KC-00105.wav,en,Fuzzy Wuzzy was a bear.,Fuzzy Wuzzy was a bear.
KC-00106.wav,en,"The seething sea ceaseth and thus the seething sea sufficeth us.","The seething sea ceaseth and thus the seething sea sufficeth us."
KC-00107.wav,en,"Black background brown background.","Black backgroun, brown background."
KC-00108.wav,en,"The blue bluebird blinks.","The blue bluebird blinks."
KC-00109.wav,en,toy boat toy boat toy boat,toy boat toy boat toy boat
KC-00110.wav,en,"The sixth sick sheik’s sixth sheep’s sick.","The sixth sick sheik’s sixth sheep’s sick."
KC-00111.wav,en,Three free throws.,Three free throws.
KC-00112.wav,en,a proper coffee pot.,a proper coffee pot.
KC-00113.wav,en,She saw Sheriff's shoes on the sofa. But was she so sure those shoes Sheriff's shoes?,She saw Sheriff's shoes on the sofa. But was she so sure those shoes Sheriff's shoes?
KC-00114.wav,en,The great Greek grape growers grow great Greek grapes.,The great Greek grape growers grow great Greek grapes.
KC-00115.wav,en,How can a clam cram in a clean cream can?,How can a clam cram in a clean cream can?
KC-00116.wav,en,The sun shines brightly in the clear blue sky.,The sun shines brightly in the clear blue sky.
KC-00117.wav,en,Gentle raindrops tap on the window pane.,Gentle raindrops tap on the window pane.
KC-00118.wav,en,Cat chased a fluttering butterfly.,Cat chased a fluttering butterfly.
KC-00119.wav,en,his laughter echoed across the empty room.,his laughter echoed across the empty room.
KC-00120.wav,en,waves crash against the rugged coastline.,waves crash against the rugged coastline.
KC-00121.wav,en,Whispered secrets echoed through ancient corridors.,Whispered the secrets echoed through ancient corridors.
KC-00122.wav,en,The orchestra played a magnificent symphony.,The orchestra played a magnificent symphony.
KC-00123.wav,en,She danced gracefully under the moonlight.,She danced gracefully under the moonlight.
KC-00124.wav,en,The rusty Gate creaked open slowly.,The rusty Gate creaked open slowly.
KC-00125.wav,en,The babbling Brook winds through the forest.,The babbling Brook winds through the forest.
KC-00126.wav,en,The distant thunder rumbled ominously.,The distant thunder rumbled ominously.
KC-00127.wav,en,The old oak tree stands tall in the meadow.,The old oak tree stands tall in the meadow.
KC-00128.wav,en,"The clock chimed midnight signaling a new day.","The clock chimed midnight signaling a new day."
KC-00129.wav,en,The ancient castle is shrouded in mystery.,The ancient castle is shrouded in mystery.
KC-00130.wav,en,The violinist played a haunting melody.,The violinist played a haunting melody.
KC-00131.wav,en,The wise owl hooted from its perch.,The wise owl hooted from its perch.
KC-00132.wav,en,rusty anchor sank into the deep sea.,rusty anchor sank into the deep sea.
KC-00133.wav,en,The fire crackled and warmed the chilly room.,The fire crackled and warmed the chilly room.
KC-00134.wav,en,The distant thunderstorm approached with fury.,The distant thunderstorm approached with fury.
KC-00135.wav,en,The delicate snowflake melted on the window.,The delicate snowflake melted on the window.
KC-00136.wav,en,The black cat prowled silently through the night.,The black cat prowled silently through the night.
KC-00137.wav,en,The ancient map led to buried treasure.,The ancient map led to buried treasure.
KC-00138.wav,en,The old windmill creaked as it turned.,The old windmill creaked as it turned.
KC-00139.wav,en,The playful dolphin leaped out of the water.,The playful dolphin leaped out of the water.
KC-00140.wav,en,The flickering campfire warned the weary travelers.,The flickering campfire warned the weary travelers.
KC-00141.wav,en,The distant church bell told solemnly.,The distant church bell told solemnly.
KC-00142.wav,en,The curious scientists examined the fossilized bone.,The curious scientists examined the fossilized bone.
KC-00143.wav,en,The mysterious hieroglyphs adorned the ancient tomb.,The mysterious hieroglyphs adorned the ancient tomb.
KC-00144.wav,en,The distant wolf howled at the full moon.,The distant wolf howleld at the full moon.
KC-00145.wav,en,The old ship sailed bravely through stormy seas.,The old ship sailed bravely through stormy seas.
KC-00146.wav,en,The ancient ritual was performed under the sacred tree.,The ncient ritual was performed under the sacred tree.
KC-00147.wav,en,The flickering lantern illuminated the dark alley.,The flickering lantern illuminated the dark alley.
KC-00148.wav,en,The curious child explored the abandoned mansion.,The curious child explored the abandoned mansion.
KC-00149.wav,en,The distant waterfall cascaded down the rocky cliffs.,The distant waterfall cascaded down the rocky cliffs.
KC-00150.wav,en,The old storyteller with tales of magic and adventure.,The old storyteller with tales of magic and adventure.
KC-00151.wav,en,The mysterious key unlocked the hidden door.,The mysterious key unlocked the hidden door.
KC-00152.wav,en,The distant eagles soared majestically in the sky.,The distant eagles soared majestically in the sky.
KC-00153.wav,en,The distant Lighthouse guided ships safely home.,The distant Lighthouse guided ships safely home.
KC-00154.wav,en,The blacksmith hammered the red hot iron.,The blacksmith hammered the red hot iron.
KC-00155.wav,en,The ancient parchment revealed hidden secrets.,The ancient parchment revealed hidden secrets.
KC-00156.wav,en,The old storyteller captivated the eager audience.,The old storyteller captivated the eager audience.
KC-00157.wav,en,The curious squirrel dotted up the tree trunk.,The curious squirrel dotted up the tree trunk.
KC-00158.wav,en,the mischievous child giggled as he hid.,the mischievous child giggled as he hid.
KC-00159.wav,en,the wind whispered through the swaying grass.,the wind whispered through the swaying grass.
KC-00160.wav,en,mysterious fog enveloped the moonlit moor.,mysterious fog enveloped the moonlit moor.
KC-00161.wav,en,The distant train whistle echoed across the valley.,The distant train whistle echoed across the valley.
KC-00162.wav,en,The crashing waves carved intricate patterns in the sand.,The crashing waves carved intricate patterns in the sand.
KC-00163.wav,en,flickering candle cast eerie shadows.,flickering candle cast eerie shadows.
KC-00164.wav,en,Chef prepared a delicious gourmet meal.,Chef prepared a delicious gourmet meal.
KC-00165.wav,en,fragile butterfly rested on a flower petal.,fragile butterfly rested on a flower petal.
KC-00166.wav,en,I'm feeling a bit under the weather today.,I'm feeling a bit under the weather today.
KC-00167.wav,en,Remember to turn off the stove before you leave the kitchen.,Remember to turn off the stove before you leave the kitchen.
KC-00168.wav,en,What's your favourite hobby or pastime?,What's your favourite hobby or pastime?
